DATE,TIME,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,JULIAN_DAYS,EPOCH_TIME,ALARM_STATUS,INST_STATUS,CavityPressure,CavityTemp,DasTemp,EtalonTemp,WarmBoxTemp,species,MPVPosition,InletValve,OutletValve,solenoid_valves,12CO2,12CO2_dry,13CO2,13CO2_dry,H2O,CH4,Delta_Raw,Delta_30s,Delta_2min,Delta_5min,Ratio_Raw,Ratio_30s,Ratio_2min,Ratio_5min,CH4_High_Precision,peak_75,ch4_splinemax_for_correct,peak87_baseave_spec,peak88_baseave
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+00
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+01
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+02
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+03
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+04
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+05
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+06
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+07
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+08
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+09
5/11/2026,47:33.5,130.6163605,3134.792651,131.6163605,1778539654,0,963,1.40E+02,4.50E+01,3.88E+01,4.50E+01,4.50E+01,1.05E+02,0.00E+00,5.00E+04,3.90E+04,0.00E+00,5.40E+02,5.51E+02,6.00E+00,6.12E+00,1.05E+00,1.92E+00,-1.12E+01,-1.13E+01,-1.17E+01,-1.14E+01,1.11E-02,1.11E-02,1.11E-02,1.11E-02,0.00E+00,1.31E+02,4.16E+02,3.23E+02,9.49E+10
